DURACAO;AVL EIXO X;AVL EIXO Y;AVL EIXO Z
0;0.005;0.001;0.001
40;0.005;0.001;0.001
80;0.004;0.002;0.001
120;0.004;0.002;0.001
160;0.005;-0.001;0.002
200;0.002;-0.001;0.003
220;0.002;-0.001;0.002
260;0.001;-0.002;0.002
300;0.000;-0.001;0.004
340;-0.002;0.002;0.002
380;-0.002;-0.001;0.001
420;0.000;0.001;0.002
440;-0.001;0.002;0.001
480;0.000;0.001;0.002
520;0.001;0.001;0.001
560;0.001;-0.002;0.003
600;0.000;-0.003;0.004
640;-0.002;-0.002;0.000
680;-0.005;-0.003;0.003
720;-0.002;-0.003;0.004
760;0.005;-0.002;0.002
800;-0.005;-0.001;0.003
840;-0.007;0.003;0.000
880;-0.011;0.004;0.001
920;-0.011;0.002;0.002
960;-0.015;0.005;0.003
1000;-0.012;-0.008;0.000
1040;-0.015;-0.007;0.002
1080;-0.010;-0.002;0.004
1120;-0.009;0.003;0.002
1160;-0.006;0.004;0.003
1200;-0.006;0.003;0.003
1240;-0.005;0.005;0.003
1280;-0.004;0.005;0.005
1320;-0.004;0.004;0.004
1360;-0.009;0.001;0.004
1400;-0.005;-0.003;0.002
1440;-0.004;-0.001;0.004
1480;-0.007;0.005;0.001
1520;-0.005;-0.002;0.004
1560;-0.001;-0.005;0.005
1600;0.001;-0.001;-0.001
1640;0.001;-0.001;0.000
1680;0.001;0.003;-0.001
1720;-0.001;0.002;-0.001
1760;0.000;0.002;-0.001
1800;0.000;-0.001;0.003
1840;0.007;-0.001;0.001
1880;0.006;-0.005;0.001
1920;0.003;-0.001;0.001
1960;0.001;0.001;0.001
2000;-0.001;-0.002;0.002
2040;0.001;-0.002;0.001
2080;0.002;-0.001;0.000
2120;0.001;0.000;0.001
2160;-0.001;0.000;0.000
2200;0.004;-0.002;0.001
2240;0.004;-0.002;0.002
2280;0.004;-0.002;0.001
2320;0.000;0.001;0.002
2360;0.007;-0.002;0.003
2400;0.007;-0.004;-0.001
2440;0.005;-0.002;-0.001
2480;0.007;0.002;0.001
2520;0.005;0.002;0.001
2560;0.002;0.002;-0.001
2600;0.001;-0.002;0.005
2640;0.005;-0.001;0.004
2680;0.000;0.003;0.005
2720;-0.002;0.003;0.005
2760;-0.001;0.003;0.005
2800;-0.004;0.003;0.005
2840;-0.006;0.005;0.004
2880;-0.004;0.003;0.005
2920;-0.003;0.003;0.005
2960;-0.003;0.000;0.005
3000;-0.001;0.001;0.004
3040;-0.007;-0.001;0.002
3080;-0.007;-0.002;0.004
3120;-0.005;-0.001;0.005
3160;0.004;-0.002;0.002
3200;-0.002;-0.004;0.004
3240;-0.005;0.002;0.000
3280;-0.001;-0.001;0.001
3320;0.000;0.000;0.001
3360;-0.001;0.002;0.001
3400;0.000;-0.004;0.002
3440;0.000;-0.002;0.003
3480;-0.001;-0.002;0.003
3520;0.001;-0.001;0.003
3560;0.002;0.001;0.002
3600;-0.001;0.003;0.002
3640;0.001;0.000;0.001
3680;0.002;0.001;0.001
3720;0.002;-0.001;0.002
3760;0.002;0.001;0.008
3800;-0.037;0.014;0.010
3840;-0.056;-0.007;0.011
3880;-0.093;-0.037;0.025
3920;-0.112;-0.037;0.014
3960;-0.164;-0.027;0.005
4000;-0.229;-0.042;0.013
4040;-0.280;-0.049;0.018
4080;-0.317;-0.048;0.007
4120;-0.362;-0.052;-0.001
4160;-0.419;-0.054;0.001
4200;-0.485;-0.079;0.015
4240;-0.521;-0.048;0.003
4280;-0.531;-0.036;0.009
4320;-0.595;0.002;-0.027
4360;-0.711;0.067;-0.027
4400;-0.811;0.151;-0.044
