DURACAO;AVL EIXO X;AVL EIXO Y;AVL EIXO Z
0;0.038;-0.040;-0.018
40;0.038;-0.040;-0.018
80;0.012;0.018;0.002
120;0.058;0.020;-0.012
160;-0.038;-0.007;0.007
200;-0.037;-0.001;0.010
240;0.020;0.012;-0.001
280;0.003;0.003;0.001
320;-0.012;-0.007;0.004
360;-0.014;0.006;0.007
400;-0.002;-0.004;0.001
440;0.002;0.002;-0.004
480;-0.024;-0.010;0.005
520;-0.024;-0.010;0.009
560;-0.005;0.003;-0.002
600;-0.013;-0.008;0.002
640;-0.024;-0.011;0.006
680;-0.004;0.004;-0.002
720;-0.019;-0.001;0.001
760;-0.015;-0.004;0.004
800;-0.007;0.013;0.005
840;-0.015;-0.001;0.001
880;-0.032;-0.011;0.001
920;-0.039;-0.007;0.007
940;-0.031;-0.002;0.006
980;-0.014;-0.007;-0.006
1020;-0.034;-0.013;0.001
1060;-0.037;-0.015;0.004
1100;-0.010;-0.001;-0.001
1140;-0.016;-0.018;-0.001
1180;-0.034;-0.005;0.005
1220;-0.015;-0.007;0.001
1260;-0.020;-0.006;-0.002
1300;-0.018;-0.009;0.001
1340;-0.023;-0.010;0.001
1380;-0.005;-0.005;-0.004
1420;-0.009;-0.003;-0.003
1460;-0.001;-0.005;-0.001
1500;0.005;0.007;-0.004
1540;0.003;-0.002;-0.001
1580;0.004;-0.007;-0.001
1620;0.005;0.002;-0.001
1660;0.005;0.000;-0.003
1680;0.002;0.004;-0.002
1720;-0.012;0.001;-0.001
1760;-0.005;0.002;-0.003
1800;0.002;0.006;-0.003
1820;-0.005;0.003;0.000
1860;-0.018;-0.004;0.001
1900;-0.002;0.004;-0.003
1920;-0.004;0.009;-0.001
1960;-0.012;-0.001;0.001
2000;0.000;-0.003;-0.001
2040;0.001;0.002;-0.002
2080;0.004;-0.001;-0.001
2120;0.007;0.009;-0.002
2160;0.003;0.001;-0.001
2200;0.006;0.001;-0.001
2240;0.013;0.005;0.001
2280;0.012;0.001;-0.002
2320;0.002;-0.003;-0.002
2360;0.005;0.005;-0.001
2400;0.007;0.000;-0.003
2440;0.000;-0.005;-0.001
2480;0.007;0.002;-0.002
2520;0.014;0.002;-0.004
2560;-0.001;0.000;0.000
2600;-0.002;-0.003;-0.002
2640;0.006;0.005;-0.001
2680;-0.017;-0.002;0.005
2720;-0.030;-0.014;0.001
2760;-0.027;0.005;0.002
2800;-0.015;-0.012;0.002
2840;-0.025;-0.005;0.001
2880;-0.031;-0.019;-0.003
2920;-0.029;-0.010;-0.001
2960;-0.012;-0.006;-0.003
3000;-0.020;-0.011;0.001
3040;-0.016;-0.018;0.001
3080;-0.002;-0.009;-0.001
3120;-0.014;-0.015;0.007
3160;-0.009;-0.015;0.002
3180;-0.001;-0.005;-0.001
3220;-0.010;-0.007;0.001
3260;-0.021;-0.013;0.006
3300;-0.016;-0.002;0.001
3320;-0.013;-0.001;0.001
3360;-0.009;-0.002;0.005
3400;-0.008;-0.003;0.002
3420;-0.002;0.003;0.004
3460;0.008;-0.005;-0.001
3500;0.012;0.007;0.003
3540;0.005;0.002;0.002
3580;0.005;-0.001;0.002
3620;0.013;0.001;0.001
3660;0.015;-0.001;0.000
3680;0.006;0.006;0.000
3720;-0.002;0.006;0.008
3760;0.011;0.009;0.000
3780;0.010;0.008;-0.001
3820;0.006;-0.003;0.005
3860;-0.005;0.004;0.005
3900;0.009;0.005;0.005
3940;0.029;0.015;0.003
3980;0.007;0.012;0.006
4020;0.001;-0.013;0.004
4060;0.025;0.018;0.000
4100;-0.019;0.005;0.003
4140;-0.079;-0.010;0.017
4180;0.003;0.027;0.019
4200;0.040;0.034;0.010
4240;-0.078;-0.041;-0.002
4280;-0.173;-0.046;-0.020
4320;-0.178;-0.040;-0.023
4360;-0.261;-0.035;-0.059
4400;-0.365;0.036;-0.093
4440;-0.410;0.011;-0.101
4480;-0.503;-0.050;-0.111
4520;-0.659;-0.084;-0.115
4560;-0.795;-0.087;-0.125
4600;-0.914;-0.112;-0.136
4640;-1.084;-0.180;-0.087
4660;-1.171;-0.282;-0.058
4700;-1.272;-0.152;0.001
4740;-1.477;-0.070;0.043
4780;-1.731;-0.027;0.108
4820;-1.917;-0.169;0.122
4860;-0.205;0.178;-0.155
4900;-0.261;-0.126;-0.053
4920;-0.372;-0.041;-0.057
4960;-0.075;0.093;-0.092
5000;0.099;0.238;-0.048
5040;0.245;0.272;-0.129
5080;0.313;0.209;-0.095
5120;0.417;0.165;-0.122
5160;0.425;0.148;-0.139
5200;0.501;0.073;-0.057
5240;0.480;-0.134;-0.041
5280;0.454;-0.354;0.073
5320;0.536;-0.626;0.084
5360;0.573;-0.544;0.039
5400;0.533;-0.383;0.130
5440;0.529;-0.489;0.160
5480;0.458;-0.561;0.086
5520;0.614;-0.137;0.015
5560;1.075;0.051;-0.018
5600;1.034;0.101;0.252
5640;0.280;-1.044;0.252
5680;0.319;-0.766;-0.003
5720;0.081;-0.096;0.403
5760;0.106;-0.139;0.029
5800;0.115;-0.057;-0.389
5840;-0.113;-0.254;-0.170
5880;-0.129;-0.217;-0.196
5900;-0.082;-0.146;-0.178
5940;0.010;0.176;0.005
5960;-0.025;0.382;0.088
6000;-0.158;1.029;0.205
6040;-0.191;0.050;0.050
6080;-0.073;-0.632;-0.318
6120;0.643;-0.090;-0.093
6160;0.790;0.089;0.150
6200;-0.438;0.156;-0.412
6240;0.183;-0.200;-0.153
6280;-0.046;-0.776;-0.791
6320;0.280;-0.046;-0.184
6360;0.146;1.310;1.095
6400;-0.774;0.937;0.823
6440;-0.343;0.282;0.238
6480;0.862;0.384;-0.603
6520;1.333;-0.473;-0.330
6560;0.549;0.329;0.107
6600;-0.216;0.448;0.315
6640;-0.552;-0.155;0.522
6680;-0.523;-1.333;0.182
6720;0.278;0.199;0.482
6760;-0.292;2.013;1.164
6800;0.001;-0.159;-0.277
6840;-0.172;0.293;-0.853
6860;-0.169;0.306;-0.725
6900;-0.286;0.123;-0.260
6940;0.103;0.271;0.021
6980;0.144;0.513;0.191
7020;-0.414;0.409;0.137
7060;0.164;-0.238;-0.087
7100;0.665;-0.029;-0.022
7140;0.698;-0.183;0.086
7180;0.098;0.320;-0.352
7220;0.099;0.712;-0.230
7240;0.100;-0.451;-0.592
7280;0.027;0.086;-0.666
7320;0.260;0.775;0.803
7360;-0.532;1.693;1.009
7400;-0.130;1.321;0.511
7440;0.940;1.201;-0.249
7460;1.559;0.877;-0.783
7500;0.480;0.079;-0.418
7540;-0.119;0.825;0.129
7580;-0.275;1.133;0.429
7620;-0.189;0.903;0.428
7660;-0.685;-0.068;0.136
7700;-0.760;0.914;0.263
7740;-0.165;2.373;1.052
7780;-0.223;1.972;-0.142
7820;-0.280;1.337;-1.032
7860;-0.560;1.101;-0.400
7880;-0.347;0.897;-0.023
7920;-0.230;1.264;0.009
7960;-0.593;1.305;0.105
8000;-0.059;0.506;0.229
8040;0.646;1.495;0.227
8060;0.767;1.887;0.189
8100;0.580;1.005;0.004
8140;-0.114;0.103;-0.115
8160;-0.070;0.536;-0.060
8200;-0.100;1.933;-0.073
8240;0.863;1.703;-0.179
8280;0.132;2.337;0.023
8320;-0.666;2.195;0.227
8360;-0.202;2.782;0.007
8400;0.747;2.488;-0.453
8440;0.194;2.386;-0.330
8480;-0.257;2.257;-0.301
8520;0.046;2.261;-0.252
8560;0.169;2.070;-0.203
8600;-0.119;1.891;-0.115
8640;-0.639;1.382;-0.018
8680;-1.457;2.403;0.399
8720;-1.414;2.342;1.137
8760;0.117;2.249;-0.188
8800;0.497;2.185;-0.946
8840;-0.068;2.088;-0.307
8880;-0.482;1.846;-0.093
8920;-0.513;1.933;0.134
8960;-0.481;1.418;0.193
9000;-0.157;1.114;0.120
9040;0.502;1.563;0.115
9080;0.475;1.660;-0.055
9120;0.190;0.737;-0.230
9160;-0.530;1.065;-0.379
9200;-0.553;0.644;0.093
9240;0.098;1.168;-0.158
9280;0.301;0.611;-0.239
9320;0.312;1.338;0.574
9360;-0.236;1.508;0.673
9400;-0.035;0.718;0.148
9440;0.524;0.454;-0.249
9480;0.746;0.648;0.229
9520;0.191;0.209;-0.085
9560;-0.111;0.027;-0.095
9600;0.156;0.693;0.156
9640;0.273;0.569;-0.100
9680;-0.278;0.020;0.164
9720;-1.448;-0.626;0.184
9760;0.310;0.317;0.092
9800;-0.213;0.877;0.552
9840;0.150;0.429;-0.483
9880;-0.312;-0.481;-0.675
9920;-0.235;-0.503;-0.409
9960;0.391;-0.012;-0.028
10000;0.801;0.865;0.231
10020;0.389;0.478;0.118
10060;-0.676;0.071;0.095
10080;-0.784;-0.020;0.050
10120;0.639;-0.602;-0.427
10160;0.630;-0.079;0.079
10200;0.027;0.078;-0.147
10240;0.140;0.472;-0.434
10280;-0.162;-0.979;-0.772
10320;-0.260;-0.186;-0.811
10360;0.128;0.364;0.862
10400;0.094;1.278;1.249
10440;0.243;0.555;0.175
10480;0.969;0.120;-0.715
10520;0.740;-0.393;-0.355
10560;0.002;0.507;-0.134
10600;-0.225;0.533;0.210
10640;0.007;0.389;0.309
10680;0.461;0.228;0.527
10720;-0.649;-1.007;0.550
10760;-0.020;0.207;0.577
10800;-0.169;1.087;0.761
10840;-0.155;0.715;-0.352
10880;-0.347;-0.125;-0.754
10920;-0.348;-0.766;-0.321
10940;-0.170;-0.513;-0.183
10980;0.353;0.357;0.406
11000;0.464;0.859;0.577
11040;0.067;0.366;0.289
11080;-0.490;0.434;-0.002
11120;0.257;-0.098;0.015
11160;0.580;0.890;0.280
11200;0.480;0.914;0.142
11240;-0.264;0.932;-0.819
11280;-0.078;1.974;-0.273
11320;-0.032;1.729;-0.195
11340;0.249;1.621;-0.330
11380;0.021;2.687;-0.029
11420;-0.621;2.733;-0.074
11460;0.020;3.180;-0.178
11480;0.549;3.308;-0.453
11520;0.804;3.431;-0.483
11560;-0.217;3.085;-0.407
11600;-0.462;2.590;-0.641
11620;-0.528;2.892;-0.533
11660;-0.564;3.269;-0.433
11700;-0.140;3.478;-0.444
11740;0.059;3.410;-0.497
11760;-0.044;3.164;-0.503
11800;-0.682;2.953;-0.415
11840;-1.495;3.183;-0.087
11880;-1.732;2.881;0.141
11920;-0.792;2.630;0.294
11940;-0.403;3.024;0.136
11980;0.411;2.834;-0.293
12000;0.302;2.820;-0.288
12040;-1.375;2.849;0.064
12080;-1.659;2.366;0.130
12100;-1.770;2.189;0.090
12140;-1.739;1.669;0.007
12180;-1.392;1.307;0.191
12220;-1.152;1.181;0.254
12260;-1.130;1.011;0.044
12300;-1.042;0.583;0.127
12320;-0.892;0.527;0.196
12360;-0.600;0.122;0.178
12380;-0.469;0.057;0.172
12420;-0.497;0.357;0.063
12460;-0.482;0.398;0.067
12500;-0.065;0.331;0.264
12540;0.076;-0.116;0.330
12580;0.571;-0.369;0.473
12620;0.719;-0.120;0.343
12660;0.661;0.013;-0.070
12700;0.646;-0.092;-0.283
12740;0.491;-0.243;-0.098
12780;0.586;-0.318;-0.233
12820;0.651;-0.230;-0.125
12860;0.698;-0.027;-0.099
12900;0.682;0.070;-0.115
12940;0.616;0.137;0.040
12980;0.704;0.255;0.045
13020;0.726;0.256;0.052
13060;0.797;0.178;0.112
13100;0.768;0.103;0.035
13140;0.691;0.108;-0.007
13180;0.655;0.098;-0.045
13220;0.515;0.098;0.052
13260;0.235;0.291;0.128
13300;-0.017;0.181;0.067
13340;0.054;0.166;0.062
13380;0.207;0.153;0.062
13420;0.149;0.131;0.087
13460;0.125;0.034;0.071
13500;0.123;0.026;0.033
13540;0.089;-0.002;0.013
13580;0.081;-0.046;-0.001
13620;0.131;-0.079;-0.004
13640;0.134;-0.057;-0.004
13680;0.075;-0.041;0.002
13720;-0.012;-0.034;-0.004
13760;-0.018;-0.012;-0.020
13800;0.007;-0.002;-0.020
13840;0.046;0.020;-0.018
13880;-0.001;0.024;-0.024
13900;-0.027;0.020;-0.024
13940;-0.026;0.020;-0.007
13980;-0.016;0.018;-0.003
14000;-0.023;0.012;-0.002
14040;-0.025;0.013;0.002
14080;-0.038;0.001;0.013
14120;-0.033;-0.005;-0.001
14140;-0.016;-0.002;-0.005
14180;-0.002;0.003;0.002
14220;-0.029;-0.002;0.003
14260;-0.048;-0.020;-0.016
14300;-0.020;-0.007;-0.007
14340;-0.024;-0.002;-0.004
14380;-0.046;-0.013;-0.015
14420;-0.022;-0.003;-0.015
14460;-0.008;0.003;0.001
14500;-0.013;-0.010;-0.008
14540;-0.028;-0.004;-0.003
14580;-0.028;-0.005;0.002
14620;-0.015;0.004;-0.011
14640;-0.019;0.009;-0.009
14680;-0.029;0.003;0.008
14720;-0.013;0.002;-0.004
14740;-0.017;-0.007;-0.004
14780;-0.010;-0.009;0.001
14800;0.000;0.002;-0.001
14840;-0.004;0.009;0.000
14880;-0.020;-0.021;-0.001
14920;-0.012;0.000;0.004
14960;-0.001;0.009;-0.002
15000;-0.012;0.003;-0.002
15040;-0.032;-0.001;0.005
15080;-0.018;0.007;-0.002
15120;-0.002;0.007;-0.006
15160;-0.021;0.003;-0.001
15200;-0.024;-0.002;-0.002
15220;-0.006;0.001;-0.007
15260;0.001;0.004;-0.008
15300;-0.019;-0.002;0.007
15340;-0.019;-0.005;-0.005
15380;0.001;0.003;-0.003
15420;0.001;0.000;0.001
15460;-0.019;-0.004;0.002
15500;-0.017;-0.005;-0.001
15540;0.012;0.009;0.001
15580;-0.004;0.001;0.003
15620;-0.026;-0.008;0.005
15660;-0.005;-0.006;0.002
15700;0.015;0.004;0.002
15720;0.013;0.004;0.000
15760;-0.018;-0.005;0.001
15800;-0.028;-0.013;0.006
15840;0.024;0.016;-0.001
15880;-0.007;0.005;0.002
15920;-0.021;-0.012;-0.001
15960;0.005;0.016;-0.001
16000;0.005;-0.004;0.004
16040;-0.004;-0.013;-0.003
16080;-0.002;0.002;0.004
16120;-0.009;-0.005;-0.002
16160;0.012;0.011;0.001
16200;0.007;0.002;0.001
16240;-0.013;-0.013;0.003
16280;0.002;0.003;0.001
16320;0.006;0.008;-0.001
16340;-0.003;0.001;0.005
16380;-0.003;-0.005;0.004
