DURACAO;AVL EIXO X;AVL EIXO Y;AVL EIXO Z
0;-0.026;-0.013;0.000
40;-0.026;-0.013;0.000
80;-0.004;0.001;-0.002
120;-0.002;0.001;0.001
160;0.001;-0.001;0.003
200;-0.001;-0.001;0.001
240;0.002;0.000;0.004
280;0.000;-0.001;0.001
320;0.001;0.000;0.002
360;-0.001;0.003;0.000
400;-0.002;0.004;0.002
440;0.001;0.001;0.002
480;0.004;0.002;0.003
520;0.012;0.000;0.003
560;0.016;-0.003;0.005
600;0.032;0.000;0.003
640;0.037;0.001;0.006
680;0.052;0.005;0.002
720;0.053;-0.002;0.006
760;0.054;0.000;0.004
800;0.057;-0.005;0.006
840;0.068;-0.006;0.004
880;0.077;0.004;-0.001
920;0.103;0.010;0.006
960;0.142;0.004;0.010
1000;0.177;-0.029;0.015
1020;0.199;-0.035;0.013
1060;0.234;-0.022;-0.001
1100;0.272;-0.013;-0.005
1140;0.297;-0.028;-0.013
1180;0.312;0.018;-0.028
1220;0.241;-0.021;0.002
1260;0.190;0.036;0.001
1300;0.180;0.047;-0.008
1340;0.183;0.028;0.001
1380;0.183;0.007;-0.005
1420;0.155;0.010;-0.001
1460;0.120;0.013;0.011
1500;0.096;0.023;0.000
1540;0.061;0.016;-0.001
1580;0.060;0.017;-0.002
1620;0.076;-0.005;-0.007
1660;0.071;-0.018;-0.009
1700;0.083;-0.012;-0.011
1740;0.089;-0.001;-0.006
1780;0.089;0.019;-0.007
1820;0.084;0.025;0.002
1860;0.089;0.019;0.000
1900;0.098;0.007;0.001
1940;0.101;-0.007;0.016
1980;0.097;-0.011;0.010
2020;0.079;-0.028;0.007
2060;0.056;-0.037;-0.002
2100;0.043;-0.020;-0.007
2140;0.035;0.005;-0.005
2180;0.023;0.029;-0.001
2220;0.018;0.025;-0.002
2260;0.026;0.025;-0.004
2300;0.040;0.021;0.002
2320;0.045;0.015;0.005
2360;0.053;0.009;0.007
2400;0.057;0.002;0.005
2440;0.054;0.003;0.005
2460;0.059;0.007;0.006
2500;0.057;0.016;0.006
2540;0.057;0.011;0.005
2560;0.056;0.010;0.006
2600;0.058;0.015;0.005
2640;0.055;0.001;0.009
2680;0.045;0.001;0.014
2720;0.032;0.006;0.012
2760;0.020;-0.006;0.010
2800;0.012;-0.005;0.008
2840;0.013;0.001;0.013
2880;0.015;0.005;0.012
2920;0.009;0.001;0.011
2960;0.005;-0.004;0.014
3000;0.004;0.007;0.012
3040;-0.008;-0.008;0.012
3080;-0.005;-0.003;0.012
3120;-0.002;-0.008;0.011
3140;-0.002;-0.005;0.013
3180;-0.009;-0.001;0.005
3220;-0.010;0.012;0.007
3260;-0.023;-0.005;0.008
3300;-0.015;-0.006;0.005
3340;-0.045;0.009;0.016
3380;-0.139;-0.019;0.008
3420;-0.277;-0.039;-0.018
3460;-0.479;-0.021;0.002
3500;-0.570;0.037;0.000
3540;-0.708;0.083;-0.024
3580;-0.869;0.085;-0.045
3620;-1.161;0.036;-0.046
3660;-1.232;0.046;-0.113
3700;-1.529;-0.057;-0.072
3740;-1.808;-0.133;0.008
3780;-1.465;-0.011;0.029
3820;-1.550;-0.059;0.082
3860;-1.315;0.053;0.051
3900;-1.112;-0.025;0.033
3940;-0.828;-0.033;0.040
3980;-0.565;-0.039;0.044
4020;-0.335;-0.057;0.007
4060;-0.089;-0.079;0.013
4100;0.169;-0.073;0.035
4140;0.354;-0.075;0.045
4180;0.522;-0.070;0.032
4220;0.655;-0.057;0.025
4260;0.808;0.025;0.017
4300;0.931;0.043;0.023
4340;1.054;0.043;-0.001
4360;1.099;0.027;-0.012
4400;1.214;0.059;-0.045
4440;1.299;0.064;-0.035
4480;1.341;0.021;-0.020
4520;1.331;-0.075;-0.031
4560;1.297;-0.081;-0.053
4600;1.261;-0.124;-0.040
4640;1.145;-0.174;-0.035
4680;1.074;-0.177;-0.026
4720;0.969;-0.164;0.000
4760;0.841;-0.105;-0.009
4800;0.746;-0.068;-0.021
4840;0.700;-0.144;-0.077
4880;0.594;-0.160;-0.076
4920;0.257;-0.221;-0.018
4960;0.103;-0.443;0.064
5000;-0.085;-0.524;0.049
5040;-0.183;-0.483;0.051
5080;-0.203;-0.234;0.083
5120;-0.269;-0.406;0.065
5160;-0.336;-0.348;-0.015
5200;-0.396;-0.242;-0.021
5220;-0.402;-0.185;-0.016
5260;-0.426;-0.057;-0.060
5300;-0.409;-0.006;-0.072
5340;-0.304;0.024;-0.176
5380;-0.095;0.308;-0.265
5420;-0.042;0.263;-0.224
5460;-0.464;-0.726;-0.111
5500;0.077;-0.393;-0.269
5540;-0.086;0.048;-0.147
5580;-0.067;0.177;-0.098
5620;-0.034;0.096;-0.091
5660;0.169;0.046;-0.117
5700;0.070;0.110;-0.119
5740;-0.001;0.100;-0.046
5780;0.006;0.038;0.002
5820;-0.013;-0.056;0.089
5860;-0.023;-0.183;0.181
5900;0.082;-0.258;0.252
5940;0.216;-0.275;0.367
5980;0.225;-0.516;0.410
6020;0.367;-0.360;0.298
6060;0.531;-0.158;0.255
6100;0.910;-0.912;-0.087
6120;0.535;-0.673;-0.454
6160;0.456;-0.079;-0.238
6200;0.041;-1.385;-0.698
6240;0.532;0.042;0.015
6280;0.120;0.580;0.276
6320;-0.114;-0.204;-0.048
6360;0.059;0.463;0.021
6400;-0.073;0.618;-0.053
6440;-0.171;0.549;-0.190
6480;-0.157;0.622;-0.250
6520;-0.007;0.743;-0.320
6560;0.119;1.048;-0.329
6600;-0.097;0.274;-0.144
6640;-0.293;0.453;-0.167
6680;-0.598;-0.458;0.210
6720;0.372;0.398;0.170
6760;-0.437;1.155;0.400
6800;-0.166;0.718;0.043
6840;-0.346;0.293;0.067
6880;-0.261;0.447;0.076
6920;-0.287;0.775;0.109
6960;-0.286;0.621;0.228
7000;-0.073;0.742;0.322
7040;0.083;0.736;0.429
7080;0.258;0.603;0.490
7120;0.362;0.400;0.459
7140;0.483;0.373;0.409
7180;0.651;0.517;0.393
7220;0.900;0.228;0.130
7260;0.093;1.297;-0.870
7300;0.115;0.470;-0.568
7340;0.578;1.139;-0.339
7380;0.042;1.711;0.145
7420;-0.342;1.531;-0.048
7460;0.136;2.087;-0.023
7500;0.015;2.293;-0.034
7540;-0.188;2.117;-0.155
7580;-0.100;2.099;-0.309
7620;-0.236;1.942;-0.434
7660;-0.210;1.824;-0.475
7700;-0.094;1.880;-0.252
7740;-0.053;1.539;-0.095
7780;-0.021;1.863;-0.126
7820;-0.425;1.553;0.151
7860;0.072;2.224;0.208
7900;-0.741;1.687;0.204
7940;-0.149;1.510;0.064
7980;-0.291;2.109;-0.137
8020;-0.492;2.072;-0.065
8060;-0.505;2.236;0.118
8100;-0.392;2.244;0.370
8140;-0.226;1.939;0.433
8180;-0.105;2.153;0.556
8220;0.082;2.194;0.739
8260;0.240;2.043;0.728
8300;0.379;1.705;0.502
8340;0.535;1.274;0.330
8380;0.525;1.076;-0.073
8400;0.337;1.592;-0.112
8440;0.509;1.738;-0.051
8480;0.194;1.411;-0.317
8520;0.198;1.823;-0.107
8560;0.255;1.943;0.066
8600;0.151;1.743;-0.021
8640;0.037;1.812;0.004
8680;-0.062;1.790;0.065
8720;0.000;1.677;-0.051
8760;-0.024;1.487;-0.146
8780;-0.065;1.365;-0.180
8820;-0.044;1.257;-0.288
8860;-0.122;1.180;-0.386
8900;-0.076;1.046;-0.393
8940;0.067;0.812;-0.392
8980;0.302;1.058;-0.308
9020;-0.020;0.929;-0.304
9060;-0.391;-0.572;0.020
9080;0.333;0.263;0.127
9120;-0.048;1.189;0.141
9160;0.164;0.405;-0.134
9200;0.100;0.024;-0.057
9240;0.074;0.017;-0.108
9280;-0.104;0.220;-0.100
9320;-0.206;0.032;0.022
9360;0.010;-0.139;0.046
9400;0.025;-0.056;0.166
9420;0.040;-0.074;0.221
9460;0.202;-0.240;0.370
9500;0.357;-0.208;0.448
9540;0.341;0.035;0.247
9580;0.354;0.018;0.111
9620;0.551;-0.265;-0.255
9660;0.379;0.023;-0.764
9680;0.361;-0.396;-0.406
9720;0.082;-0.991;-0.444
9760;0.456;-0.264;0.042
9800;-0.026;0.365;0.169
9840;0.070;0.034;-0.021
9880;0.076;0.338;-0.008
9920;0.005;0.254;-0.045
9960;-0.087;0.140;-0.131
9980;-0.146;0.150;-0.158
10020;-0.183;0.293;-0.224
10060;-0.053;0.543;-0.294
10100;0.016;0.473;-0.282
10140;-0.046;0.123;-0.068
10160;0.075;0.265;-0.144
10200;0.170;0.894;-0.386
10240;-0.794;-0.320;0.275
10280;-0.210;0.087;0.389
10320;-0.345;0.919;0.232
10360;-0.183;0.836;0.003
10400;-0.379;0.675;-0.151
10440;-0.630;0.546;0.116
10480;-0.335;0.662;0.002
10520;-0.194;0.896;0.130
10540;-0.199;1.071;0.282
10580;0.002;1.138;0.501
10620;0.233;1.057;0.566
10660;0.102;1.246;0.687
10680;0.004;1.357;0.714
10720;0.159;1.471;0.645
10760;0.631;0.979;0.303
10800;0.438;1.004;-0.492
10840;-0.556;1.422;-0.334
10880;-0.049;2.064;-0.232
10920;0.203;2.100;-0.086
10960;-0.004;2.582;0.013
11000;-0.171;2.776;-0.064
11040;-0.225;3.113;-0.130
11080;-0.371;3.156;-0.184
11120;-0.544;3.147;-0.245
11160;-0.713;3.150;-0.233
11200;-0.675;3.097;-0.248
11240;-0.739;2.970;-0.224
11280;-0.904;2.630;-0.041
11320;-0.761;2.619;0.071
11360;-0.924;3.166;0.034
11400;-1.663;2.163;0.176
11440;-0.837;1.979;0.435
11480;-0.572;1.778;0.265
11520;-0.586;1.832;0.326
11560;-0.608;1.809;0.517
11600;-0.550;1.580;0.726
11640;-0.522;1.352;0.783
11680;-0.818;1.246;0.772
11720;-1.122;1.023;0.698
11760;-1.261;0.619;0.615
11800;-1.179;0.483;0.490
11840;-1.401;0.576;0.581
11880;-1.195;0.579;0.650
11920;-1.093;0.493;0.591
11960;-0.930;0.403;0.473
12000;-0.855;0.301;0.415
12040;-0.669;0.328;0.427
12080;-0.536;0.439;0.342
12120;-0.387;0.403;0.329
12160;-0.153;0.268;0.274
12200;0.157;0.255;0.171
12240;0.319;0.195;0.093
12280;0.464;0.165;0.038
12320;0.582;0.024;0.026
12360;0.678;0.035;0.049
12400;0.743;0.012;0.057
12440;0.819;-0.023;0.062
12480;0.885;0.112;0.002
12520;0.963;0.235;-0.122
12560;0.981;0.134;-0.184
12600;0.974;0.023;-0.131
12620;0.972;-0.032;-0.081
12660;0.928;-0.071;-0.010
12700;0.863;0.000;-0.004
12740;0.811;0.031;0.034
12780;0.739;0.020;0.026
12820;0.670;0.034;-0.002
12860;0.578;0.042;0.026
12900;0.476;0.071;0.016
12940;0.393;0.045;0.048
12980;0.335;0.042;0.011
13020;0.312;0.023;-0.024
13040;0.299;0.016;-0.027
13080;0.272;0.022;-0.010
13120;0.279;-0.017;0.043
13160;0.304;-0.027;0.051
13200;0.215;-0.043;0.033
13240;0.213;-0.079;0.041
13280;0.187;0.001;0.043
13320;0.092;0.003;0.062
13360;0.070;-0.027;0.073
13400;0.054;-0.036;0.038
13440;0.042;-0.002;0.026
13480;0.006;0.025;0.031
13520;-0.036;0.032;0.037
13560;-0.028;0.041;0.042
13600;-0.016;0.063;0.039
13620;-0.019;0.069;0.041
13660;0.014;0.068;0.057
13700;0.027;0.048;0.040
13740;0.034;0.025;0.044
13780;0.045;0.007;0.050
13820;0.035;-0.010;0.047
13860;0.032;0.007;0.048
13900;0.046;0.012;0.037
13940;0.031;0.004;0.035
13980;0.018;0.005;0.021
14020;0.023;0.006;0.014
14060;0.031;0.013;0.013
14100;0.011;0.005;0.007
14140;-0.003;0.002;0.007
14180;0.009;-0.002;0.000
14220;0.001;-0.006;-0.005
14260;0.001;-0.009;-0.004
14300;0.000;-0.008;-0.013
14340;-0.001;-0.010;-0.013
14380;-0.001;-0.005;-0.014
14420;0.005;-0.005;-0.018
14460;0.001;-0.005;-0.019
14500;-0.004;-0.010;-0.016
14540;0.010;-0.002;-0.013
